"Year","Subject group HECoS CAH1","Age group","Domicile","Gender","Applications"
"2025","(CAH19) language and area studies","19","Northern Ireland","Woman","160"
"2026","(CAH19) language and area studies","19","Northern Ireland","Woman","170"
"2019","(CAH24) media, journalism and communications","19","Northern Ireland","Woman","200"
"2020","(CAH24) media, journalism and communications","19","Northern Ireland","Woman","160"
"2021","(CAH24) media, journalism and communications","19","Northern Ireland","Woman","120"
"2022","(CAH24) media, journalism and communications","19","Northern Ireland","Woman","140"
"2023","(CAH24) media, journalism and communications","19","Northern Ireland","Woman","130"
"2024","(CAH24) media, journalism and communications","19","Northern Ireland","Woman","110"
"2025","(CAH24) media, journalism and communications","19","Northern Ireland","Woman","110"
"2026","(CAH24) media, journalism and communications","19","Northern Ireland","Woman","160"
"2019","(CAH23) combined and general studies","19","Northern Ireland","Woman","0"
"2020","(CAH23) combined and general studies","19","Northern Ireland","Woman","20"
"2021","(CAH23) combined and general studies","19","Northern Ireland","Woman","0"
"2022","(CAH23) combined and general studies","19","Northern Ireland","Woman","10"
"2023","(CAH23) combined and general studies","19","Northern Ireland","Woman","10"
"2024","(CAH23) combined and general studies","19","Northern Ireland","Woman","10"
"2025","(CAH23) combined and general studies","19","Northern Ireland","Woman","10"
"2026","(CAH23) combined and general studies","19","Northern Ireland","Woman","10"
"2019","(CAH17) business and management","19","Northern Ireland","Woman","890"
"2020","(CAH17) business and management","19","Northern Ireland","Woman","740"
"2021","(CAH17) business and management","19","Northern Ireland","Woman","570"
"2022","(CAH17) business and management","19","Northern Ireland","Woman","520"
"2023","(CAH17) business and management","19","Northern Ireland","Woman","490"
"2024","(CAH17) business and management","19","Northern Ireland","Woman","470"
"2025","(CAH17) business and management","19","Northern Ireland","Woman","500"
"2026","(CAH17) business and management","19","Northern Ireland","Woman","640"
"2019","(CAH15) social sciences","19","Northern Ireland","Woman","1380"
"2020","(CAH15) social sciences","19","Northern Ireland","Woman","1220"
"2021","(CAH15) social sciences","19","Northern Ireland","Woman","1020"
"2022","(CAH15) social sciences","19","Northern Ireland","Woman","850"
"2023","(CAH15) social sciences","19","Northern Ireland","Woman","830"
"2024","(CAH15) social sciences","19","Northern Ireland","Woman","800"
"2025","(CAH15) social sciences","19","Northern Ireland","Woman","770"
"2026","(CAH15) social sciences","19","Northern Ireland","Woman","1000"
"2019","(CAH03) biological and sport sciences","19","Northern Ireland","Woman","360"
"2020","(CAH03) biological and sport sciences","19","Northern Ireland","Woman","340"
"2021","(CAH03) biological and sport sciences","19","Northern Ireland","Woman","270"
"2022","(CAH03) biological and sport sciences","19","Northern Ireland","Woman","300"
"2023","(CAH03) biological and sport sciences","19","Northern Ireland","Woman","350"
"2024","(CAH03) biological and sport sciences","19","Northern Ireland","Woman","290"
"2025","(CAH03) biological and sport sciences","19","Northern Ireland","Woman","260"
"2026","(CAH03) biological and sport sciences","19","Northern Ireland","Woman","340"
"2019","(CAH13) architecture, building and planning","19","Northern Ireland","Woman","90"
"2020","(CAH13) architecture, building and planning","19","Northern Ireland","Woman","90"
"2021","(CAH13) architecture, building and planning","19","Northern Ireland","Woman","80"
"2022","(CAH13) architecture, building and planning","19","Northern Ireland","Woman","60"
"2023","(CAH13) architecture, building and planning","19","Northern Ireland","Woman","90"
"2024","(CAH13) architecture, building and planning","19","Northern Ireland","Woman","100"
"2025","(CAH13) architecture, building and planning","19","Northern Ireland","Woman","80"
"2026","(CAH13) architecture, building and planning","19","Northern Ireland","Woman","100"
"2019","(CAH01) medicine and dentistry","19","Northern Ireland","Woman","180"
"2020","(CAH01) medicine and dentistry","19","Northern Ireland","Woman","160"
"2021","(CAH01) medicine and dentistry","19","Northern Ireland","Woman","180"
"2022","(CAH01) medicine and dentistry","19","Northern Ireland","Woman","240"
"2023","(CAH01) medicine and dentistry","19","Northern Ireland","Woman","300"
"2024","(CAH01) medicine and dentistry","19","Northern Ireland","Woman","240"
"2025","(CAH01) medicine and dentistry","19","Northern Ireland","Woman","250"
"2026","(CAH01) medicine and dentistry","19","Northern Ireland","Woman","180"
"2019","(CAH20) historical, philosophical and religious studies","19","Northern Ireland","Woman","170"
"2020","(CAH20) historical, philosophical and religious studies","19","Northern Ireland","Woman","110"
"2021","(CAH20) historical, philosophical and religious studies","19","Northern Ireland","Woman","90"
"2022","(CAH20) historical, philosophical and religious studies","19","Northern Ireland","Woman","70"
"2023","(CAH20) historical, philosophical and religious studies","19","Northern Ireland","Woman","150"
"2024","(CAH20) historical, philosophical and religious studies","19","Northern Ireland","Woman","80"
"2025","(CAH20) historical, philosophical and religious studies","19","Northern Ireland","Woman","100"
"2026","(CAH20) historical, philosophical and religious studies","19","Northern Ireland","Woman","90"
"2019","(CAH11) computing","19","Northern Ireland","Woman","210"
"2020","(CAH11) computing","19","Northern Ireland","Woman","160"
"2021","(CAH11) computing","19","Northern Ireland","Woman","110"
"2022","(CAH11) computing","19","Northern Ireland","Woman","120"
"2023","(CAH11) computing","19","Northern Ireland","Woman","100"
"2024","(CAH11) computing","19","Northern Ireland","Woman","150"
"2025","(CAH11) computing","19","Northern Ireland","Woman","120"
"2026","(CAH11) computing","19","Northern Ireland","Woman","140"
"2019","(CAH26) geography, earth and environmental studies","19","Northern Ireland","Woman","140"
"2020","(CAH26) geography, earth and environmental studies","19","Northern Ireland","Woman","120"
"2021","(CAH26) geography, earth and environmental studies","19","Northern Ireland","Woman","70"
"2022","(CAH26) geography, earth and environmental studies","19","Northern Ireland","Woman","100"
"2023","(CAH26) geography, earth and environmental studies","19","Northern Ireland","Woman","80"
"2024","(CAH26) geography, earth and environmental studies","19","Northern Ireland","Woman","70"
"2025","(CAH26) geography, earth and environmental studies","19","Northern Ireland","Woman","70"
"2026","(CAH26) geography, earth and environmental studies","19","Northern Ireland","Woman","90"
"2019","(CAH07) physical sciences","19","Northern Ireland","Woman","70"
"2020","(CAH07) physical sciences","19","Northern Ireland","Woman","70"
"2021","(CAH07) physical sciences","19","Northern Ireland","Woman","50"
"2022","(CAH07) physical sciences","19","Northern Ireland","Woman","80"
"2023","(CAH07) physical sciences","19","Northern Ireland","Woman","90"
"2024","(CAH07) physical sciences","19","Northern Ireland","Woman","80"
"2025","(CAH07) physical sciences","19","Northern Ireland","Woman","70"
"2026","(CAH07) physical sciences","19","Northern Ireland","Woman","70"
"2019","(CAH04) psychology","19","Northern Ireland","Woman","410"
"2020","(CAH04) psychology","19","Northern Ireland","Woman","320"
"2021","(CAH04) psychology","19","Northern Ireland","Woman","300"
"2022","(CAH04) psychology","19","Northern Ireland","Woman","220"
"2023","(CAH04) psychology","19","Northern Ireland","Woman","230"
"2024","(CAH04) psychology","19","Northern Ireland","Woman","280"
"2025","(CAH04) psychology","19","Northern Ireland","Woman","230"
"2026","(CAH04) psychology","19","Northern Ireland","Woman","210"
"2019","(CAH09) mathematical sciences","19","Northern Ireland","Woman","60"
"2020","(CAH09) mathematical sciences","19","Northern Ireland","Woman","50"
"2021","(CAH09) mathematical sciences","19","Northern Ireland","Woman","40"
"2022","(CAH09) mathematical sciences","19","Northern Ireland","Woman","60"
"2023","(CAH09) mathematical sciences","19","Northern Ireland","Woman","50"
"2024","(CAH09) mathematical sciences","19","Northern Ireland","Woman","20"
"2025","(CAH09) mathematical sciences","19","Northern Ireland","Woman","20"
"2026","(CAH09) mathematical sciences","19","Northern Ireland","Woman","50"
"2019","(CAH22) education and teaching","19","Northern Ireland","Woman","280"
"2020","(CAH22) education and teaching","19","Northern Ireland","Woman","290"
"2021","(CAH22) education and teaching","19","Northern Ireland","Woman","280"
"2022","(CAH22) education and teaching","19","Northern Ireland","Woman","210"
"2023","(CAH22) education and teaching","19","Northern Ireland","Woman","200"
"2024","(CAH22) education and teaching","19","Northern Ireland","Woman","190"
"2025","(CAH22) education and teaching","19","Northern Ireland","Woman","190"
"2026","(CAH22) education and teaching","19","Northern Ireland","Woman","250"
"2019","(CAH06) agriculture, food and related studies","19","Northern Ireland","Woman","80"
"2020","(CAH06) agriculture, food and related studies","19","Northern Ireland","Woman","100"
"2021","(CAH06) agriculture, food and related studies","19","Northern Ireland","Woman","90"
"2022","(CAH06) agriculture, food and related studies","19","Northern Ireland","Woman","90"
"2023","(CAH06) agriculture, food and related studies","19","Northern Ireland","Woman","120"
"2024","(CAH06) agriculture, food and related studies","19","Northern Ireland","Woman","70"
"2025","(CAH06) agriculture, food and related studies","19","Northern Ireland","Woman","70"
"2026","(CAH06) agriculture, food and related studies","19","Northern Ireland","Woman","160"
"2019","(CAH16) law","19","Northern Ireland","Woman","300"
"2020","(CAH16) law","19","Northern Ireland","Woman","240"
"2021","(CAH16) law","19","Northern Ireland","Woman","220"
"2022","(CAH16) law","19","Northern Ireland","Woman","190"
"2023","(CAH16) law","19","Northern Ireland","Woman","250"
"2024","(CAH16) law","19","Northern Ireland","Woman","180"
"2025","(CAH16) law","19","Northern Ireland","Woman","210"
"2026","(CAH16) law","19","Northern Ireland","Woman","280"
"2019","(CAH05) veterinary sciences","19","Northern Ireland","Woman","60"
"2020","(CAH05) veterinary sciences","19","Northern Ireland","Woman","50"
"2021","(CAH05) veterinary sciences","19","Northern Ireland","Woman","50"
"2022","(CAH05) veterinary sciences","19","Northern Ireland","Woman","100"
"2023","(CAH05) veterinary sciences","19","Northern Ireland","Woman","80"
"2024","(CAH05) veterinary sciences","19","Northern Ireland","Woman","60"
"2025","(CAH05) veterinary sciences","19","Northern Ireland","Woman","80"
"2026","(CAH05) veterinary sciences","19","Northern Ireland","Woman","80"
"2019","Unassigned","20","Northern Ireland","Woman","70"
"2020","Unassigned","20","Northern Ireland","Woman","0"
"2021","Unassigned","20","Northern Ireland","Woman","0"
"2022","Unassigned","20","Northern Ireland","Woman","0"
"2023","Unassigned","20","Northern Ireland","Woman","0"
"2024","Unassigned","20","Northern Ireland","Woman","0"
"2025","Unassigned","20","Northern Ireland","Woman","0"
"2026","Unassigned","20","Northern Ireland","Woman","0"
"2019","(CAH25) design, and creative and performing arts","20","Northern Ireland","Woman","310"
